Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Digi-Key_PN,MFG,Voltage,Sim.Device,Sim.Pins,Brightness,ViewAngle,Color
C1,1,2.2nF,C_Rect_L18.0mm_W5.0mm_P15.00mm_FKS3_FKP3,,222PPB162K,,tht,Unpolarized capacitor,1572-1358-ND,ILLINOIS CAPACITOR,,,,,,
"C10, C5, C6, C7, C8, C9",6,470uF,CP_Radial_D35.0mm_P10.00mm_SnapIn,,,,tht,"470uF, 450V Aluminum Electrolytic Capacitor, 35mm dia, 10mm pin spacing",,,450V,,,,,
C2,1,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor,,,,,,,,
"C3, C4",2,330uF,CP_Radial_D8.0mm_P3.50mm,,A750KS337M1EAAE018,,tht,"330uF, 25V Polymer Capacitor",399-A750KS337M1EAAE018-ND,Kemet,25V,,,,,
"D1, D2, D3, D4",4,600V,D_SMC_Handsoldering,,  1.5SMC600A,,smt,"1500W unidirectional TVS diode, DO214AB",18-1.5SMC600ACT-ND,LITTELFUSE INC (VA),,,,,,
"D10, D6, D7, D8, D9",5,BZT52B75,D_SOD-123F,,BZT52B75 RHG,,smt,"500mW Zener Diode, SOD-123F",1801-BZT52B75RHGCT-ND,Tiawan Semiconductor,75V,,,,,
D11,1,1SMB5917,D_SMB_Handsoldering,,1SMB5917BT3G,,smt,"3000mW Zener Diode, SMB",1SMB5917BT3GOSCT-ND,OnSemi,4.7V,,,,,
D12,1,MURS4100C,D_SMC_Handsoldering,,MURS4100C,,smt,"1000V 5A Soft Recovery Ultrafast Rectifier Diode, DO-201AD",31-MURS4100CCT-ND,Diodes Inc,,D,1=K 2=A,,,
D13,1,LED,LED_Kingbright-SMD3528_3.5x2.8mm,,AA3528LSECKT/J3,,smt,Light emitting diode,754-2068-1-ND,KingBright,,,1=K 2=A,120,120,Red
D5,1,SCR,TO-252-2,,MCR12DSNT4G,,smt,"Silicon controlled rectifier, cathode/anode/gate",MCR12DSNT4GOSCT-ND,LITTELFUSE INC (VA),,,,,,
GD1,1,350V,GDT_Bourns_2053_SM,,2053-35-SM-RPLF,,tht,Gas Discharge Tube with 2 Pins,118-2053-35-SM-RPLFCT-ND,"Bourns, Inc",,,,,,
J1,1,Input,KEYSTONE_7693,,,,tht,"Generic screw terminal, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,
J2,1,Ground,KEYSTONE_7693,,,,tht,"Generic screw terminal, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,
J3,1,Bus+,KEYSTONE_7693,,,,tht,"Generic screw terminal, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,
J4,1,Bus-,KEYSTONE_7693,,,,tht,"Generic screw terminal, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,
"J5, J6",2,Screw_Terminal_01x02,TerminalBlock_MetzConnect_Type011_RT05502HBLC_1x02_P5.00mm_Horizontal,,,,tht,"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,
"R1, R2",2,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,,,,,,,
U1,1,EPM1210SJ,EPM1210SJ_TMA,,EPM1210SJ,,tht,"Isolated DC-DC converter, wide input range. 12V output, 12W, 110-450V input",MT7382-ND,Tamura,,,,,,
U2,1,XL-4015-Buck-PCB,XL4015-Buck-Module,,,,tht,"Non-isolated Buck Converter PCB, XL4015 chip, 0-36V, 0-5A, Amazon",,,,,,,,
