pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
64.77,-81.16,90.0,top,C1,222PPB162K,,C_Rect_L18.0mm_W5.0mm_P15.00mm_FKS3_FKP3,2.2nF,tht
149.86,-46.369501,-90.0,top,C10,,,CP_Radial_D35.0mm_P10.00mm_SnapIn,470uF,tht
78.74,-137.16,180.0,top,C2,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
193.04,-99.06,-90.0,top,C3,A750KS337M1EAAE018,,CP_Radial_D8.0mm_P3.50mm,330uF,tht
180.34,-99.06,-90.0,top,C4,A750KS337M1EAAE018,,CP_Radial_D8.0mm_P3.50mm,330uF,tht
111.76,-121.39492,-90.0,top,C5,,,CP_Radial_D35.0mm_P10.00mm_SnapIn,470uF,tht
149.86,-121.317807,-90.0,top,C6,,,CP_Radial_D35.0mm_P10.00mm_SnapIn,470uF,tht
111.76,-84.784758,-90.0,top,C7,,,CP_Radial_D35.0mm_P10.00mm_SnapIn,470uF,tht
149.86,-83.962726,-90.0,top,C8,,,CP_Radial_D35.0mm_P10.00mm_SnapIn,470uF,tht
111.76,-46.369501,-90.0,top,C9,,,CP_Radial_D35.0mm_P10.00mm_SnapIn,470uF,tht
77.47,-81.28,180.0,top,D1,  1.5SMC600A,,D_SMC_Handsoldering,600V,smt
88.9,-107.95,-90.0,top,D10,BZT52B75 RHG,,D_SOD-123F,BZT52B75,smt
82.55,-105.41,-90.0,top,D11,1SMB5917BT3G,,D_SMB_Handsoldering,1SMB5917,smt
86.36,-73.66,180.0,top,D12,MURS4100C,,D_SMC_Handsoldering,MURS4100C,smt
77.47,-106.68,90.0,top,D13,AA3528LSECKT/J3,,LED_Kingbright-SMD3528_3.5x2.8mm,LED,smt
77.47,-66.04,180.0,top,D2,  1.5SMC600A,,D_SMC_Handsoldering,600V,smt
77.47,-81.28,0.0,bottom,D3,  1.5SMC600A,,D_SMC_Handsoldering,600V,smt
77.47,-66.04,0.0,bottom,D4,  1.5SMC600A,,D_SMC_Handsoldering,600V,smt
80.01,-127.0,90.0,top,D5,MCR12DSNT4G,,TO-252-2,SCR,smt
88.9,-128.27,-90.0,top,D6,BZT52B75 RHG,,D_SOD-123F,BZT52B75,smt
88.9,-123.19,-90.0,top,D7,BZT52B75 RHG,,D_SOD-123F,BZT52B75,smt
88.9,-118.11,-90.0,top,D8,BZT52B75 RHG,,D_SOD-123F,BZT52B75,smt
88.9,-113.03,-90.0,top,D9,BZT52B75 RHG,,D_SOD-123F,BZT52B75,smt
80.01,-115.57,0.0,top,GD1,2053-35-SM-RPLF,,GDT_Bourns_2053_SM,350V,tht
64.77,-88.9,0.0,top,J1,,,KEYSTONE_7693,Input,tht
64.77,-58.42,0.0,top,J2,,,KEYSTONE_7693,Ground,tht
88.9,-38.1,90.0,top,J3,,,KEYSTONE_7693,Bus+,tht
88.9,-139.7,90.0,top,J4,,,KEYSTONE_7693,Bus-,tht
209.7025,-96.56,-90.0,top,J5,,,TerminalBlock_MetzConnect_Type011_RT05502HBLC_1x02_P5.00mm_Horizontal,Screw_Terminal_01x02,tht
209.7025,-71.16,-90.0,top,J6,,,TerminalBlock_MetzConnect_Type011_RT05502HBLC_1x02_P5.00mm_Horizontal,Screw_Terminal_01x02,tht
78.74,-140.97,180.0,top,R1,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1K,smt
77.47,-101.6,-90.0,top,R2,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1K,smt
190.276027,-115.711801,90.0,top,U1,EPM1210SJ,,EPM1210SJ_TMA,EPM1210SJ,tht
186.69,-62.838106,90.0,top,U2,,,XL4015-Buck-Module,XL-4015-Buck-PCB,tht
